[2026-01-19 16:55:38,773] 15 root - INFO - Data Ingestion Started
[2026-01-19 16:55:42,765] 76 root - INFO - Performed train_test_split.
[2026-01-19 16:55:43,009] 17 root - INFO - Data ingestion completed
[2026-01-19 16:55:43,014] 25 root - INFO - Data Validation Started
[2026-01-19 16:55:43,139] 23 root - INFO - The number of columns in the dataframe is: 3
[2026-01-19 16:55:43,139] 24 root - INFO - The number of columns in the dataframe is: 50
[2026-01-19 16:55:43,140] 23 root - INFO - The number of columns in the dataframe is: 3
[2026-01-19 16:55:43,140] 24 root - INFO - The number of columns in the dataframe is: 50
[2026-01-19 16:55:43,559] 27 root - INFO - Data Validation completed
